
	carbon	oxygen	iron	nitrogen
GCF_001050475.1	0.868	0.828	0.676	0.401	3.042
GCF_001051995.2	2.177	15.491	3.839	8.352	16.174
GCF_001077715.1	0.448	1.562	0.839	1.618	6.678
GCF_001077815.2	-0.741	2.527	3.341	6.049	14.139
GCF_001078055.1	0.458	3.555	3.348	5.351	12.853
GCF_001078275.1	-0.685	3.603	3.710	5.253	16.040
GCF_001182765.1	1.688	5.746	8.669	3.421	13.250
GCF_001183865.1	-0.155	18.744	5.025	4.457	15.880
GCF_001185205.1	-0.204	3.003	3.701	3.627	14.530
GCF_001186155.3	0.085	-0.981	2.211	3.725	9.034
GCF_001186335.1	0.821	3.431	3.359	5.507	15.394
GCF_001187505.1	0.739	3.501	4.612	2.346	15.467
GCF_001187595.1	3.944	5.408	3.468	7.849	11.798
GCF_001187785.1	-0.273	2.809	2.324	8.471	12.250
GCF_001187845.1	2.304	5.574	3.578	4.017	15.193
GCF_001188855.1	0.075	1.161	1.878	1.982	8.837
GCF_001189295.1	1.757	1.918	2.516	4.907	14.479
GCF_001189495.1	0.984	4.310	1.309	1.120	5.060
GCF_001189515.2	-0.435	0.471	0.803	1.259	3.636
GCF_001189535.1	0.153	2.469	3.746	5.452	14.806
GCF_001189555.1	4.288	9.108	2.732	3.534	8.188
GCF_001190745.1	5.270	7.151	2.131	7.208	10.011
GCF_001190755.1	5.906	7.707	1.527	7.435	9.628
GCF_001190925.1	2.980	6.358	5.909	9.213	18.011
GCF_001190945.1	-1.330	2.528	3.791	2.093	14.649
GCF_001190965.1	-0.245	7.421	3.030	2.951	13.420
GCF_001191005.1	0.000	3.469	3.511	6.101	16.975
GCF_001262015.1	0.061	-0.303	-0.529	3.036	6.372
GCF_001262055.1	0.142	0.152	-0.646	0.279	6.489
GCF_001262075.1	-1.605	4.121	2.403	4.998	10.573
GCF_001263175.1	0.848	1.367	1.509	6.047	10.934
GCF_001263395.1	0.572	0.392	1.266	1.024	2.135
GCF_001266755.1	-2.272	-0.207	3.733	2.363	10.935
GCF_001267175.1	0.907	1.703	2.369	5.803	9.682
GCF_001267395.1	-0.063	0.284	0.883	0.214	3.044
GCF_001267885.1	-0.424	2.484	3.245	2.718	15.588
GCF_001267925.1	-1.958	4.334	4.089	6.774	15.730
GCF_001271345.1	1.949	2.200	3.133	7.902	15.503
GCF_001273775.1	2.505	5.297	3.852	7.532	16.129
GCF_001274535.1	-0.416	2.400	0.552	0.710	4.662
GCF_001274595.1	0.184	3.285	1.744	4.214	12.644
GCF_001274875.1	-0.631	-0.486	0.087	0.218	0.117
GCF_001274895.1	-1.536	1.343	3.822	3.251	8.973
GCF_001275345.1	-1.950	0.169	3.383	1.945	11.032
GCF_001275365.1	1.021	3.333	0.858	0.534	6.313
GCF_001277195.1	1.706	6.021	3.310	3.402	13.708
GCF_001277255.1	1.706	6.139	3.951	3.402	13.963
GCF_001277295.1	2.629	10.270	6.556	3.628	16.891
GCF_001277995.1	-1.423	0.903	4.520	2.360	8.969
GCF_001278035.1	-0.218	5.782	3.198	6.662	14.631
GCF_001278055.1	3.792	10.183	5.341	8.921	14.581
GCF_001278075.1	-1.530	1.818	3.569	2.019	15.186
GCF_001278095.1	-0.226	3.154	3.410	2.352	15.464
GCF_001278715.1	-0.577	3.633	3.063	2.342	13.186
GCF_001278845.1	1.076	2.267	0.475	-0.352	6.807
GCF_001280205.1	-2.064	0.328	3.009	2.460	10.491
GCF_001280305.1	-1.011	1.682	3.061	3.850	12.772
GCF_001281045.1	-0.644	-0.205	0.087	0.218	0.260
GCF_001281115.1	-0.464	2.511	3.293	2.816	13.041
GCF_001281315.1	-2.562	0.203	4.125	2.616	12.715
GCF_001281385.1	3.936	6.124	3.768	3.982	12.276
GCF_001281405.1	0.101	0.792	1.648	1.443	7.037
GCF_001281465.1	-0.116	3.474	3.362	4.333	15.964
GCF_001281485.1	-0.221	3.137	3.461	4.735	13.713
GCF_001281505.1	0.967	1.612	0.997	1.606	7.793
GCF_001293045.1	-0.064	14.232	3.231	5.274	16.378
GCF_001293165.1	9.617	4.608	3.181	6.875	13.177
GCF_001294425.1	-0.554	2.852	4.518	2.738	15.619
GCF_001294575.1	-1.188	3.570	3.475	6.413	15.678
GCF_001294605.1	-1.068	3.467	3.947	2.380	14.492
GCF_001294625.1	-1.389	0.042	4.767	2.751	12.641
GCF_001294645.1	-1.508	3.212	4.597	2.860	15.905
GCF_001298465.1	6.267	3.128	1.417	6.818	9.440
GCF_001298525.1	1.313	2.812	2.702	3.588	11.735
GCF_001302565.1	-2.186	1.376	3.668	2.719	12.457
GCF_001302585.1	0.921	2.909	3.322	2.738	16.581
GCF_001304715.1	1.453	7.889	3.893	0.938	7.374
GCF_001304795.1	-2.468	7.023	6.428	6.217	15.293
GCF_001305595.1	1.598	17.391	5.717	8.199	18.318
GCF_001305615.1	2.369	5.701	6.324	6.727	17.577
GCF_001305675.1	0.551	2.098	3.655	2.355	14.988
GCF_001307295.1	-0.449	3.091	3.442	7.053	15.200
GCF_001308105.1	0.210	5.797	3.648	6.133	13.067
GCF_001308145.2	-1.197	0.367	0.891	-0.135	1.573
GCF_001308265.1	1.745	4.481	3.776	6.189	15.141
GCF_001310085.1	-0.600	6.511	2.980	3.627	12.621
GCF_001310225.1	-1.044	1.307	3.173	5.188	9.988
GCF_001310255.1	-1.536	2.145	4.253	5.626	12.711
GCF_001314225.1	-2.577	-0.522	3.851	2.376	11.653
GCF_001314305.1	-0.556	2.269	2.976	7.631	14.332
GCF_001314945.1	-0.736	1.405	1.186	-0.291	1.825
GCF_001314995.1	0.848	6.993	0.866	5.099	8.734
GCF_001318295.1	0.058	-0.448	2.538	3.268	4.083
GCF_001318345.1	1.743	7.208	0.866	4.633	8.734
GCF_001399775.1	5.066	3.452	4.002	4.298	13.420
GCF_001402875.1	2.342	4.842	5.656	7.693	15.106
GCF_001402915.1	-1.452	3.282	3.186	5.012	14.835
GCF_001406115.1	-1.075	2.808	4.398	2.099	15.463
GCF_001411495.1	-0.946	3.743	4.299	4.703	16.631
GCF_001412535.1	0.533	9.971	6.129	5.028	16.534
GCF_001412575.1	0.671	6.064	5.285	5.614	16.204
GCF_001412595.1	-0.220	4.138	3.944	5.151	16.080
GCF_001412615.1	7.609	5.982	0.604	3.434	7.994
GCF_001412655.1	-0.514	2.171	3.317	5.085	13.299
GCF_001414055.1	-1.992	2.208	4.963	5.767	15.331
GCF_001420915.1	-0.099	4.148	6.836	3.884	12.571
GCF_001421015.1	2.821	2.392	3.001	1.703	11.979
GCF_001430825.1	-1.325	1.035	4.158	4.399	10.403
GCF_001430865.1	-1.057	-2.408	2.474	3.467	5.832
GCF_001431725.1	0.170	3.497	3.231	6.826	16.110
GCF_001432245.1	2.051	0.889	2.621	1.950	9.469
GCF_001433715.1	-1.201	2.117	4.431	6.607	12.211
GCF_001433955.1	0.788	2.802	0.879	0.284	4.419
GCF_001439585.2	1.255	3.673	4.080	3.508	13.611
GCF_001442535.1	-0.696	3.941	3.519	6.721	16.097
GCF_001442755.1	-0.453	3.645	4.823	5.347	15.848
GCF_001442785.1	-1.149	2.577	3.519	4.209	15.836
GCF_001442805.1	-1.481	2.916	3.519	4.566	16.031
GCF_001442815.1	0.808	1.948	3.155	2.464	10.499
GCF_001443605.1	3.409	3.211	0.917	6.252	9.060
GCF_001443645.1	2.954	4.455	0.066	0.356	3.090
GCF_001444365.1	0.063	2.863	2.932	8.027	13.711
GCF_001444405.1	-1.324	0.641	4.196	4.145	9.692
GCF_001444425.1	-1.766	1.466	4.083	4.332	10.790
GCF_001444445.1	-0.271	0.259	-0.276	4.322	5.657
GCF_001447335.1	2.119	5.974	3.133	9.571	14.626
GCF_001455085.1	0.498	5.057	3.161	0.640	5.396
GCF_001455205.1	-0.562	2.390	3.639	7.187	14.505
GCF_001456065.2	1.868	8.453	3.609	0.742	8.141
GCF_001456115.1	-0.947	2.031	3.569	5.277	14.955
GCF_001456155.1	-1.473	0.320	1.175	3.260	9.819
GCF_001458475.1	-0.196	2.157	2.165	3.234	10.670
GCF_001458695.1	3.285	4.147	2.360	5.861	16.348
GCF_001460635.1	2.970	2.473	0.566	7.693	9.619
GCF_001465255.1	0.318	2.051	4.291	3.940	14.375
GCF_001465275.1	0.273	2.994	4.433	4.021	12.908
GCF_001465545.3	0.735	3.742	3.565	4.750	16.514
GCF_001465835.2	-0.902	4.844	3.588	3.583	9.832
GCF_001466725.1	0.484	2.851	2.786	8.341	11.892
GCF_001477625.1	-0.612	3.618	3.362	8.107	16.217
GCF_001477655.1	5.522	70.318	3.497	0.596	6.853
GCF_001481725.1	1.493	18.876	3.762	0.476	7.918
GCF_001482365.1	-0.396	0.634	3.576	2.674	12.503
GCF_001482385.1	-1.478	0.713	4.196	4.510	10.854
GCF_001483385.1	0.261	0.630	2.285	3.902	8.251
GCF_001483865.1	-0.257	5.866	6.166	4.212	16.146
GCF_001483945.1	-0.260	5.494	6.146	5.378	17.728
GCF_001483965.1	-2.150	-1.233	0.649	-0.478	1.989
GCF_001484065.1	0.205	3.591	3.388	3.843	15.411
GCF_001484565.1	2.691	3.444	3.448	2.718	16.324
GCF_001484605.1	-2.930	-0.151	3.646	2.460	12.304
GCF_001484685.1	5.620	5.599	-0.502	0.667	7.398
GCF_001484705.1	-1.436	1.774	3.489	2.718	15.560
GCF_001484935.1	-0.656	4.078	1.784	1.960	12.672
GCF_001488575.1	2.491	8.371	2.512	2.818	12.010
GCF_001499615.1	-0.334	3.240	3.140	5.753	14.766
GCF_001499655.1	0.975	0.437	1.560	2.713	10.475
GCF_001507665.1	0.562	2.719	3.828	4.067	13.283
GCF_001511755.1	2.242	3.780	4.325	7.639	17.100
GCF_001511815.1	2.149	3.469	3.645	2.723	15.931
GCF_001514355.1	0.099	4.094	3.799	7.702	16.488
GCF_001518795.1	-1.124	0.030	0.482	-0.321	1.796
GCF_001518815.1	-0.053	5.172	3.329	5.240	15.297
GCF_001518835.1	2.330	5.848	2.142	2.030	13.730
GCF_001534645.1	0.287	0.624	2.332	3.809	11.740
GCF_001534745.1	-1.039	2.771	2.884	5.170	14.714
GCF_001535545.1	0.181	2.676	3.517	4.091	10.851
GCF_001542565.1	-2.444	0.514	3.489	2.460	13.109
GCF_001542815.1	-0.223	17.334	7.071	6.173	17.691
GCF_001543105.1	-1.474	0.224	0.446	0.024	0.558
GCF_001543175.1	-2.033	-0.450	0.138	-0.284	2.242
GCF_001543265.1	-2.204	2.810	3.838	6.413	14.253
GCF_001543285.1	-2.451	2.920	0.382	0.209	2.380
GCF_001547895.1	-0.361	3.732	4.458	6.910	15.821
GCF_001547975.1	-0.352	-0.500	0.002	-0.177	0.139
GCF_001547995.1	-0.594	3.138	4.513	3.713	13.594
GCF_001548015.1	1.208	17.104	6.973	6.494	17.309
GCF_001548055.1	5.677	9.712	6.022	7.640	15.061
GCF_001548075.1	4.153	8.024	6.971	5.571	15.926
GCF_001548235.1	0.389	0.766	2.540	0.870	7.883
GCF_001548455.1	2.974	10.225	6.711	4.281	17.613
GCF_001553605.1	10.299	8.842	1.665	6.536	9.025
GCF_001553685.1	-1.338	-1.056	0.195	0.158	2.169
GCF_001553895.1	1.606	1.191	3.424	3.304	12.652
GCF_001553915.1	-1.299	-0.050	0.163	0.030	2.706
GCF_001553935.1	0.735	3.141	2.313	1.502	10.028
GCF_001553955.1	1.169	3.444	2.436	3.301	12.526
GCF_001557535.1	-0.518	3.931	4.612	6.175	16.734
GCF_001558255.1	2.760	3.269	3.235	8.250	12.294
GCF_001558415.1	1.002	3.368	2.893	8.574	12.095
GCF_001558435.1	2.221	2.780	3.034	8.574	11.882
GCF_001558475.1	1.206	2.961	2.403	8.058	10.227
GCF_001558975.1	-3.013	-1.417	3.270	2.541	8.452
GCF_001559115.1	2.342	2.097	2.532	2.480	9.586
GCF_001559255.1	1.360	5.438	4.073	5.902	15.391
GCF_001562215.1	-1.707	1.853	3.422	9.730	14.031
GCF_001563285.1	0.482	2.725	3.442	7.268	15.336
GCF_001578105.1	-0.327	3.722	3.784	7.166	15.326
GCF_001578185.1	1.786	4.143	4.167	3.280	13.920
GCF_001579805.1	-0.343	3.798	4.726	6.556	16.328
GCF_001579905.1	1.663	5.170	4.550	7.780	16.848
GCF_001580455.1	0.379	3.434	3.308	6.776	16.570
GCF_001582075.1	2.741	6.436	3.363	2.080	14.123
GCF_001583415.1	0.034	3.491	3.675	2.418	15.090
GCF_001584185.1	-0.186	4.090	4.376	3.857	16.054
GCF_001586155.1	1.555	3.449	3.311	6.838	15.954
GCF_001586165.1	1.257	4.488	2.529	5.780	13.698
GCF_001586215.1	0.055	-0.028	2.757	3.163	9.536
GCF_001586255.1	1.929	2.228	4.381	6.567	13.038
GCF_001587175.1	-0.660	-0.396	0.266	0.158	1.525
GCF_001590615.1	0.891	1.596	2.323	5.164	11.613
GCF_001592435.1	7.885	8.500	-0.458	0.132	6.093
GCF_001597285.1	-0.823	2.799	3.135	7.639	15.260
GCF_001598035.1	-1.221	0.180	0.073	-0.384	0.643
GCF_001605725.1	-1.068	1.547	4.709	2.165	15.909
GCF_001605965.1	0.796	3.690	3.790	5.292	14.950
GCF_001606005.1	-0.649	2.373	2.514	2.415	11.470
GCF_001606025.1	0.883	3.198	2.574	3.936	13.483
GCF_001610975.1	-0.653	2.667	3.648	8.349	13.971
GCF_001611035.1	-0.398	0.502	0.973	-0.142	1.083
GCF_001611795.1	-0.810	3.317	3.521	3.113	15.563
GCF_001611855.1	-1.032	1.547	4.709	2.287	15.909
GCF_001618685.1	2.988	4.966	2.762	4.236	14.289
GCF_001618885.1	2.485	2.770	1.830	1.733	9.214
GCF_001620005.1	-1.487	1.751	3.772	2.165	15.656
GCF_001628715.1	0.382	3.571	3.524	6.637	13.484
GCF_001632845.1	5.111	11.194	5.072	8.039	14.767
GCF_001634365.1	1.137	4.739	3.744	6.328	15.615
GCF_001636015.1	0.571	2.826	2.261	4.826	11.049
GCF_001638925.1	-0.558	2.895	3.540	4.550	14.858
GCF_001639105.1	-0.463	4.768	5.707	5.020	16.858
GCF_001640865.1	0.141	7.346	0.833	1.709	7.895
GCF_001641285.1	-1.113	3.429	3.130	4.356	13.693
GCF_001642655.1	1.343	4.923	4.077	1.067	6.888
GCF_001643955.1	5.052	5.152	2.505	7.925	11.585
GCF_001643975.1	5.619	4.215	2.577	7.925	12.009
GCF_001644565.1	1.037	2.705	3.780	3.029	13.969
GCF_001644665.1	1.418	5.054	0.083	0.837	6.429
GCF_001644685.1	3.926	18.240	8.267	4.193	16.342
GCF_001647635.1	-3.193	-0.813	2.455	2.617	8.100
GCF_001647715.1	-1.100	2.854	4.709	5.292	15.985
GCF_001648175.1	-1.137	4.317	4.312	3.548	15.341
GCF_001650215.1	-0.483	2.715	3.427	2.738	15.901
GCF_001652465.1	-2.435	-0.554	2.676	2.502	9.746
GCF_001652485.1	-0.606	2.559	3.491	4.536	14.533
GCF_001652505.1	1.640	6.297	2.094	2.152	13.971
GCF_001652565.1	-1.401	4.361	3.724	7.861	16.706
GCF_001653935.1	0.163	3.714	3.504	5.456	16.041
GCF_001654495.1	1.409	3.583	4.465	2.276	15.801
GCF_001655245.1	0.897	3.509	4.564	2.418	15.442
GCF_001655615.1	1.521	3.978	4.248	4.026	15.785
GCF_001658025.1	2.599	7.576	4.473	2.577	15.069
GCF_001660045.1	-0.638	2.484	3.245	2.718	15.724
GCF_001661075.1	1.624	3.711	3.814	7.497	16.227
GCF_001663835.1	-1.201	0.219	0.646	-0.295	1.806
GCF_001664085.1	-1.706	7.221	6.528	3.792	17.347
GCF_001664485.1	-1.103	3.875	6.448	4.148	17.721
GCF_001676765.1	-0.431	9.904	6.398	3.889	17.925
GCF_001677275.1	1.754	3.066	3.135	8.389	10.932
GCF_001678905.1	0.934	-0.040	3.310	3.239	9.774
GCF_001678945.1	2.341	4.367	4.615	4.535	16.251
GCF_001687565.2	-0.073	1.691	3.078	3.583	10.367
GCF_001687585.2	-1.263	1.445	3.288	3.583	10.020
GCF_001687665.2	1.076	1.996	3.609	3.583	10.859
GCF_001687805.1	0.831	3.066	3.135	8.747	10.932
GCF_001688625.1	0.791	9.221	4.158	1.705	7.772
GCF_001688665.1	1.080	6.861	3.760	1.334	9.902
GCF_001688725.1	-0.033	2.709	0.903	1.486	7.134
GCF_001688965.1	0.620	4.140	1.692	1.341	6.522
GCF_001689125.1	3.480	14.496	2.239	0.741	8.594
GCF_001693255.1	3.913	8.931	8.155	4.000	15.187
GCF_001693385.1	1.979	8.022	7.069	7.685	19.188
GCF_001693675.1	-0.898	3.270	3.441	2.221	15.742
GCF_900011245.1	0.882	4.348	4.866	8.199	17.134
GCF_900078695.1	-0.635	2.669	3.376	5.253	15.668
GCF_900086555.1	-0.724	0.293	1.045	4.101	10.100
GCF_900087055.1	2.800	5.436	2.292	7.756	14.062
